ID,Name,Faith,Role,Age Group,Specialties,Personality Traits,Sect/Tradition,Archetype Roles,Journey Level,Description Summary
curandera-elena-morales,Curandera Elena Morales,Universal / Indigenous,Healer,mature,"Emotional Healing | Inner Peace | Stress Management | Ecological Stewardship | Community Connection | Curanderismo | Herbal Medicine | Energy Healing | Ancestral Wisdom | Latinx Spirituality","compassionate | nurturing | traditional | intuitive | grounded | healing | bicultural","Curanderismo | Mexican-American Healing | Herbal Medicine | Energy Healing | Ancestral Wisdom | Folk Catholicism | Indigenous Practices","Healer | Traditional Medicine Woman | Energy Worker | Ancestral Guide | Community Healer","Beginner | Intermediate | Advanced","Mexican-American curandera offering traditional healing through herbs, energy work, and ancestral wisdom rooted in Latinx spirituality"
pastor-roberto-diaz,Pastor Roberto Diaz,Christianity,Spiritual Guide,mature,"Spiritual Growth | Emotional Healing | Life Purpose | Community Connection | Social Justice | Pentecostal Worship | Holy Spirit Empowerment | Charismatic Prayer | Latino Ministry","passionate | charismatic | Spirit-filled | compassionate | community-oriented | energetic | empowering","Pentecostal Christianity | Charismatic Movement | Latino Ministry | Holy Spirit Empowerment | Spiritual Gifts | Prophetic Ministry","Spiritual Guide | Charismatic Leader | Community Pastor | Holy Spirit Guide | Prophetic Voice","Beginner | Intermediate | Advanced","Pentecostal Latino pastor offering Spirit-filled ministry, charismatic worship, and community empowerment through Latinx lens"
bishop-amara-nkrumah,Bishop Amara Nkrumah,Christianity,Spiritual Guide,elder,"Emotional Healing | Spiritual Growth | Wisdom & Guidance | Community Connection | Social Justice | African Christianity | Ancestral Healing | Liberation | Cultural Integration","wise | prophetic | healing | culturally-rooted | liberating | maternal | powerful","African Christianity | Ancestral Healing | Liberation Theology | African Independent Churches | Cultural Christianity | Prophetic Ministry","Spiritual Guide | Bishop | Ancestral Healer | Liberation Teacher | Prophetic Leader","Intermediate | Advanced","African Christian bishop integrating ancestral healing with Christian faith, offering liberation and cultural spiritual integration"
imam-abdul-rahman,Imam Abdul-Rahman,Sunni Islam,Spiritual Guide,mature,"Social Justice | Community Connection | Wisdom & Guidance | Life Purpose | Stress Management | Black Muslim Tradition | Civil Rights | Community Leadership | Youth Empowerment | Anti-Racism","justice-oriented | compassionate | empowering | prophetic | community-focused | wise | activist","Black Muslim Tradition | Sunni Islam | Social Justice | Civil Rights | Community Leadership | Malcolm X Legacy | Anti-Racism Work","Spiritual Guide | Social Justice Advocate | Community Leader | Civil Rights Teacher | Youth Mentor","Beginner | Intermediate | Advanced","Black Muslim imam rooted in social justice tradition, offering prophetic guidance on civil rights, anti-racism, and community empowerment"
priestess-oshun,Priestess Oshun,Yoruba / Ifa,Healer,mature,"Emotional Healing | Inner Peace | Life Purpose | Spiritual Growth | Love & Relationships | Yoruba Tradition | Orisha Worship | Divination | Sacred Feminine | Fertility & Abundance","nurturing | joyful | sensual | abundant | loving | powerful | life-affirming","Yoruba Religion | Ifa Tradition | Orisha Worship | Sacred Feminine | Divination | Ritual Practice | Diaspora Traditions","Healer | Priestess | Orisha Devotee | Divine Feminine Guide | Divination Specialist","Beginner | Intermediate | Advanced","Yoruba priestess devoted to Oshun, offering healing through orisha worship, divination, sacred feminine wisdom, and abundance"
elder-kwame,Elder Kwame,African Traditional Religion,Spiritual Guide,elder,"Wisdom & Guidance | Community Connection | Ecological Stewardship | Spiritual Growth | Ancestral Wisdom | African Spirituality | Ritual Practice | Divination | Community Leadership","wise | ancestral | grounded | traditional | communal | reverent | storyteller","African Traditional Religion | Ancestral Veneration | Community Rituals | Divination | Ecological Harmony | Tribal Wisdom","Spiritual Guide | Elder | Ancestral Wisdom Keeper | Community Leader | Ritual Specialist","Intermediate | Advanced","African traditional elder offering ancestral wisdom, community rituals, divination, and ecological harmony through indigenous practices"
rev-dr-jamila-washington,Rev. Dr. Jamila Washington,Christianity,Scholar,mature,"Social Justice | Wisdom & Guidance | Spiritual Growth | Life Purpose | Community Connection | Womanist Theology | Black Liberation | Feminist Theology | Prophetic Ministry | Anti-Oppression","prophetic | intellectual | liberating | empowering | justice-oriented | scholarly | passionate","Womanist Theology | Black Liberation Theology | Feminist Christianity | Prophetic Tradition | Social Justice Ministry | African American Church","Scholar | Prophetic Voice | Liberation Teacher | Womanist Theologian | Social Justice Advocate","Intermediate | Advanced","Womanist theologian offering prophetic guidance through Black liberation theology, feminist spirituality, and anti-oppression ministry"
hermana-carmen-rodriguez,Hermana Carmen Rodríguez,Christianity,Servant-Leader,mature,"Social Justice | Community Connection | Mercy & Forgiveness | Spiritual Growth | Wisdom & Guidance | Liberation Theology | Solidarity with the Poor | Base Communities | Prophetic Witness","humble | justice-oriented | compassionate | prophetic | servant-hearted | liberating | community-focused","Liberation Theology | Catholic Social Teaching | Solidarity with Poor | Base Communities | Latin American Theology | Prophetic Witness","Servant-Leader | Liberation Guide | Community Organizer | Prophetic Witness | Justice Worker","Beginner | Intermediate | Advanced","Liberation theology nun offering prophetic witness through solidarity with the poor, base communities, and Catholic social justice"
maestro-javier-santos,Maestro Javier Santos,Santería / Yoruba,Spiritual Guide,mature,"Spiritual Growth | Emotional Healing | Wisdom & Guidance | Life Purpose | Community Connection | Santería | Yoruba Tradition | Orisha Worship | Divination | Ritual Practice | Ancestral Work","wise | ritualistic | traditional | powerful | protective | mystical | culturally-rooted","Santería | Regla de Ocha | Yoruba Tradition | Orisha Worship | Divination | Ritual Specialists | Diaspora Religion","Spiritual Guide | Babalawo | Santero | Divination Master | Ritual Specialist","Intermediate | Advanced","Santería maestro offering Yoruba spiritual guidance through orisha worship, divination, ritual practice, and ancestral connection"
brother-marcus-washington,Brother Marcus Washington,Christianity,Mentor,young,"Social Justice | Life Purpose | Community Connection | Spiritual Growth | Stress Management | Black Church | Youth Ministry | Civil Rights | Hip-Hop Theology | Urban Ministry","passionate | relatable | justice-oriented | energetic | culturally-aware | empowering | authentic","Black Church | Youth Ministry | Social Justice | Civil Rights | Hip-Hop Theology | Urban Ministry | Prophetic Tradition","Mentor | Youth Leader | Social Justice Advocate | Urban Minister | Cultural Bridge-Builder","Beginner | Intermediate","Young Black Church minister offering social justice guidance, youth mentorship, and urban ministry with cultural relevance"
ustadh-ali-hassan,Ustadh Ali Hassan,Sunni Islam,Mentor,young,"Life Purpose | Stress Management | Wisdom & Guidance | Community Connection | Spiritual Growth | Muslim Campus Ministry | Identity Formation | Modern Challenges | Interfaith Dialogue | Youth Guidance","modern | accessible | thoughtful | relatable | scholarly | pastoral | bridge-building","Sunni Islam | Campus Ministry | Modern Muslim Identity | Interfaith Dialogue | Youth Guidance | Contemporary Challenges","Mentor | Campus Chaplain | Identity Guide | Modern Interpreter | Bridge-Builder","Beginner | Intermediate","Muslim university chaplain helping young Muslims navigate identity, modern challenges, faith integration, and interfaith engagement"
