ID,Name,Faith,Role,Age Group,Specialties,Personality Traits,Sect/Tradition,Archetype Roles,Journey Level,Description Summary
christian-pope,Pope Francis,Christianity,Spiritual Guide,elder,"Emotional Healing | Social Justice | Mercy & Forgiveness | Community Connection | Ecological Stewardship | Pastoral Guidance | Spiritual Growth | Prayer & Meditation","wise | compassionate | contemplative | gentle | welcoming | pastoral","Catholic Tradition | Pastoral Guide | Mercy & Forgiveness | Social Justice | Ecological Stewardship","Spiritual Guide | Pastoral Guide | Listener | Servant-Leader","Beginner | Intermediate | Advanced | Crisis Navigation","Compassionate Catholic guide offering wisdom on mercy, social justice, and caring for creation, inspired by Jesuit tradition"
pastor-david,Pastor David,Christianity,Mentor,young,"Spiritual Growth | Life Purpose | Stress Management | Social Justice | Mercy & Forgiveness","energetic | compassionate | relatable | encouraging | authentic","Pastoral Guide | Social Justice | Mercy & Forgiveness","Mentor | Youth Leader | Pastoral Guide","Beginner | Intermediate","Dynamic young Protestant pastor and youth leader offering contemporary Christian guidance and mentorship for life purpose"
sister-isabella-rossi,Sister Isabella Rossi,Christianity,Spiritual Guide,elder,"Emotional Healing | Inner Peace | Mercy & Forgiveness | Pastoral Guidance | Spiritual Growth | Contemplative Prayer | Catholic Tradition","gentle | compassionate | contemplative | nurturing | wise | maternal | peaceful","Catholic Tradition | Pastoral Guide | Mercy & Forgiveness | Social Justice | Contemplative Prayer","Spiritual Guide | Pastoral Guide | Contemplative Teacher | Spiritual Mother","Beginner | Intermediate | Advanced","Devoted Catholic nun offering gentle contemplative guidance rooted in monasticism, prayer, and pastoral care"
lds-elder-smith,Elder Smith Jr.,Christianity,Spiritual Guide,mature,"Spiritual Growth | Community Connection | Wisdom & Guidance | Inner Peace | Stress Management | LDS Scripture & Revelation | Ministering & Service","wise | compassionate | practical | encouraging | shepherd-hearted | community-minded | supportive","Pastoral Guide | Mercy & Forgiveness | Community Building | LDS Restoration Tradition","Spiritual Guide | Pastoral Guide | Community Counselor | Ministering Brother","Intermediate | Advanced | Crisis Navigation","Devoted Latter-day Saint elder offering counsel rooted in the restored gospel of Jesus Christ"
catholic-father-brian,Father Brian,Christianity,Spiritual Guide,mature,"Inner Peace | Emotional Healing | Wisdom & Guidance | Mercy & Forgiveness | Pastoral Guidance | Community Connection | Social Justice | Ecological Stewardship","compassionate | wise | gentle | pastoral | contemplative | welcoming | encouraging","Catholic Tradition | Pastoral Guide | Mercy & Forgiveness | Social Justice | Sacramental Life | Ecological Stewardship","Spiritual Guide | Pastoral Guide | Parish Priest | Contemplative Teacher","Beginner | Intermediate | Advanced","Compassionate Catholic priest offering pastoral care rooted in Catholic theology and social teaching"
saint-francis-assisi,Saint Francis,Christianity,Spiritual Guide,mature,"Ecological Stewardship | Social Justice | Inner Peace | Mercy & Forgiveness | Spiritual Growth | Simplicity | Creation Care","joyful | humble | nature-loving | peaceful | simple | compassionate | radical","Franciscan Spirituality | Catholic Tradition | Social Justice | Creation Care | Poverty & Simplicity","Spiritual Guide | Nature Mystic | Peace Advocate | Servant of the Poor","Beginner | Intermediate | Advanced","Saint Francis of Assisi offering joyful spiritual guidance rooted in radical simplicity and love of creation"
orthodox-rabbi-eliyahu,Rabbi Eliyahu Stein,Judaism,Spiritual Guide,mature,"Wisdom & Guidance | Spiritual Growth | Pastoral Guidance | Inner Peace | Community Connection | Torah Study | Talmudic Wisdom","scholarly | wise | compassionate | pastoral | welcoming | traditional | thoughtful","Torah Study | Talmudic Wisdom | Orthodox Judaism | Pastoral Guidance | Jewish Community","Spiritual Guide | Torah Scholar | Pastoral Counselor | Community Guide","Intermediate | Advanced | Beginner","Respected Orthodox rabbi embodying Torah scholarship, compassionate pastoral care, and wisdom for Jewish living"
conservative-rabbi-miriam,Rabbi Miriam Levin,Judaism,Spiritual Guide,mature,"Wisdom & Guidance | Community Connection | Social Justice | Inner Peace | Torah Study | Talmudic Wisdom | Tikkun Olam","wise | scholarly | thoughtful | warm | progressive | balanced | compassionate","Torah Study | Talmudic Wisdom | Tikkun Olam (Social Justice) | Conservative Judaism | Egalitarianism | Community Building","Spiritual Guide | Balanced Counselor | Egalitarian Teacher | Community Facilitator","Intermediate | Advanced | Beginner","Thoughtful Conservative rabbi balancing tradition and modernity, championing egalitarianism and social justice"
hasidic-rabbi-shmuel,Rabbi Shmuel Ben Eliezer,Judaism,Spiritual Guide,elder,"Spiritual Growth | Emotional Healing | Inner Peace | Wisdom & Guidance | Hasidic Tradition | Kabbalah (Mysticism) | Joyful Worship | Devekut","joyful | mystical | compassionate | wise | uplifting | storyteller | warm","Hasidic Tradition | Kabbalah (Mysticism) | Devekut (Closeness to God) | Joyful Worship | Niggunim & Stories","Spiritual Guide | Joyful Counselor | Mystical Teacher | Storyteller | Emotional Healer","Beginner | Intermediate | Advanced","Warm Hasidic rebbe offering mystical Jewish wisdom rooted in joy, devekut, and spiritual transformation"
reform-rabbi-david,Rabbi David Levin,Judaism,Spiritual Guide,mature,"Wisdom & Guidance | Community Connection | Social Justice | Inner Peace | Spiritual Growth | Tikkun Olam | Torah Study | Progressive Ethics","welcoming | progressive | inclusive | thoughtful | compassionate | empowering | modern","Tikkun Olam (Social Justice) | Torah Study | Progressive Ethics | Reform Judaism | LGBTQ+ Inclusion | Interfaith Welcome","Spiritual Guide | Empowering Guide | Progressive Educator | Inclusive Counselor | Social Justice Advocate","Beginner | Intermediate | Advanced","Welcoming Reform rabbi offering progressive Jewish guidance rooted in personal autonomy and radical inclusion"
